Date,Open,High,Low,Close,Volume,SMA_Short,SMA_Long,Signal,Equity
2022-01-02,0.0790430009365081,0.0801450014114379,0.0793510004878044,0.080885998904705,208711,,,0,10000.0
2022-01-03,0.080885000526905,0.081274002790451,0.080665998160839,0.0809630006551742,260036,,,0,10000.0
2022-01-04,0.0809620022773742,0.0818300023674964,0.0808319970965385,0.0826639980077743,305701,,,0,10000.0
2022-01-05,0.0826679989695549,0.0819329991936683,0.0807389989495277,0.0814889967441558,414546,0.08101059943437569,,0,10000.0
2022-01-06,0.0814730003476142,0.0814730003476142,0.0782120004296302,0.0792009979486465,562865,0.08104059845209116,,0,10000.0
2022-01-07,0.0791879966855049,0.0792640000581741,0.0758330002427101,0.0768380016088485,589399,0.08023099899291986,,0,10000.0
2022-01-08,0.076844997704029,0.0769779980182647,0.0740280002355575,0.0740879997611045,384285,0.07885599881410592,,0,10000.0
2022-01-09,0.074081003665924,0.075213998556137,0.0739889964461326,0.0753429979085922,294302,0.0773917987942695,,0,10000.0
2022-01-10,0.0753389969468116,0.0752929970622062,0.0740310028195381,0.0737209990620613,467125,0.0758381992578506,,0,10000.0
2022-01-11,0.0737179964780807,0.0756699964404106,0.0734769999980926,0.0757699981331825,355941,0.0751519992947578,,0,10000.0
2022-01-12,0.0757780000567436,0.0770850032567977,0.0755359977483749,0.0767309963703155,379140,0.0751305982470512,,0,10000.0
2022-01-13,0.0767280012369155,0.0767370015382766,0.0764980018138885,0.0762659981846809,359096,0.07556619793176647,,0,10000.0
2022-01-14,0.076274000108242,0.0768679976463317,0.0762910023331642,0.0767989978194236,314688,0.07585739791393277,,0,10000.0
2022-01-15,0.0767949968576431,0.0770689994096756,0.0768399983644485,0.0771360024809837,222802,0.07654039859771725,,0,10000.0
2022-01-16,0.0771329998970031,0.0777309983968734,0.0769800022244453,0.0777229964733123,220484,0.0769309982657432,,0,10000.0
2022-01-17,0.0777229964733123,0.0777179971337318,0.0757249966263771,0.0760300010442733,292169,0.07679079920053475,,0,10000.0
2022-01-18,0.0760290026664733,0.0763150006532669,0.0746729969978332,0.0746660009026527,307350,0.07647079974412911,,0,10000.0
2022-01-19,0.0746619999408721,0.0746819972991943,0.0740680024027824,0.0741619989275932,315909,0.07594339996576303,,0,10000.0
2022-01-20,0.0741479992866516,0.0752710029482841,0.0737679973244667,0.0737729966640472,261696,0.07527079880237574,0.07716499902307981,-1,10000.0
2022-01-21,0.0738179981708526,0.0737759992480278,0.0691130012273788,0.0701619982719421,735004,0.0737585991621017,0.07672054879367346,-1,10000.0
2022-01-22,0.0702510029077529,0.0713540017604827,0.067840002477169,0.0686599984765052,781316,0.07228459864854808,0.07610924877226348,-1,10000.0
